"phase","cycle","order_seed","order_position","implementation","started_utc","completed_utc","duration_ms","peak_working_set_bytes","active_case_count","large_case_count","cohort","exit_code"
"warmup","1","101","1","rapidjson-1.9.5","2026-09-03T13:17:43.8327350Z","2026-09-03T13:17:57.2913234Z","13458.588","399486976","16","3","large-enabled","0"
"warmup","1","101","2","nlohmann-2.0.0","2026-09-03T13:17:57.4316571Z","2026-09-03T13:18:13.1302459Z","15698.589","452374528","16","3","large-enabled","0"
"warmup","2","102","1","nlohmann-2.0.0","2026-09-03T13:18:13.2583973Z","2026-09-03T13:18:28.7108782Z","15452.481","453906432","16","3","large-enabled","0"
"warmup","2","102","2","rapidjson-1.9.5","2026-09-03T13:18:28.8222170Z","2026-09-03T13:18:41.9417528Z","13119.536","399814656","16","3","large-enabled","0"
"warmup","3","103","1","rapidjson-1.9.5","2026-09-03T13:18:42.0838427Z","2026-09-03T13:18:55.0890808Z","13005.238","400384000","16","3","large-enabled","0"
"warmup","3","103","2","nlohmann-2.0.0","2026-09-03T13:18:55.1846029Z","2026-09-03T13:19:10.5876123Z","15403.009","451215360","16","3","large-enabled","0"
"warmup","4","104","1","nlohmann-2.0.0","2026-09-03T13:19:10.6723555Z","2026-09-03T13:19:26.0328759Z","15360.52","451948544","16","3","large-enabled","0"
"warmup","4","104","2","rapidjson-1.9.5","2026-09-03T13:19:26.1276978Z","2026-09-03T13:19:38.8844932Z","12756.795","418697216","16","3","large-enabled","0"
"warmup","5","105","1","rapidjson-1.9.5","2026-09-03T13:19:38.9874089Z","2026-09-03T13:19:52.1972958Z","13209.887","398954496","16","3","large-enabled","0"
"warmup","5","105","2","nlohmann-2.0.0","2026-09-03T13:19:52.3186542Z","2026-09-03T13:20:07.7079643Z","15389.31","453066752","16","3","large-enabled","0"
"measured","1","1001","1","rapidjson-1.9.5","2026-09-03T13:20:07.8284952Z","2026-09-03T13:20:20.6728629Z","12844.368","420831232","16","3","large-enabled","0"
"measured","1","1001","2","nlohmann-2.0.0","2026-09-03T13:20:21.9557777Z","2026-09-03T13:20:37.3326982Z","15376.92","453976064","16","3","large-enabled","0"
"measured","2","1002","1","nlohmann-2.0.0","2026-09-03T13:20:38.5012679Z","2026-09-03T13:20:53.9266807Z","15425.413","453390336","16","3","large-enabled","0"
"measured","2","1002","2","rapidjson-1.9.5","2026-09-03T13:20:55.0855240Z","2026-09-03T13:21:08.3053338Z","13219.81","398331904","16","3","large-enabled","0"
"measured","3","1003","1","rapidjson-1.9.5","2026-09-03T13:21:09.4693598Z","2026-09-03T13:21:22.5613826Z","13092.023","399065088","16","3","large-enabled","0"
"measured","3","1003","2","nlohmann-2.0.0","2026-09-03T13:21:23.7374117Z","2026-09-03T13:21:39.2371981Z","15499.786","452423680","16","3","large-enabled","0"
"measured","4","1004","1","nlohmann-2.0.0","2026-09-03T13:21:40.4109571Z","2026-09-03T13:21:55.9790408Z","15568.084","448638976","16","3","large-enabled","0"
"measured","4","1004","2","rapidjson-1.9.5","2026-09-03T13:21:57.1422146Z","2026-09-03T13:22:10.2327285Z","13090.514","394821632","16","3","large-enabled","0"
"measured","5","1005","1","rapidjson-1.9.5","2026-09-03T13:22:11.3940647Z","2026-09-03T13:22:24.6109722Z","13216.908","399024128","16","3","large-enabled","0"
"measured","5","1005","2","nlohmann-2.0.0","2026-09-03T13:22:25.7736381Z","2026-09-03T13:22:41.3217270Z","15548.089","453607424","16","3","large-enabled","0"
"measured","6","1006","1","nlohmann-2.0.0","2026-09-03T13:22:42.4981132Z","2026-09-03T13:22:57.9350046Z","15436.891","454266880","16","3","large-enabled","0"
"measured","6","1006","2","rapidjson-1.9.5","2026-09-03T13:22:59.1227455Z","2026-09-03T13:23:12.1030638Z","12980.318","417124352","16","3","large-enabled","0"
"measured","7","1007","1","rapidjson-1.9.5","2026-09-03T13:23:13.3046659Z","2026-09-03T13:23:26.6481971Z","13343.531","399044608","16","3","large-enabled","0"
"measured","7","1007","2","nlohmann-2.0.0","2026-09-03T13:23:27.8411870Z","2026-09-03T13:23:43.3409445Z","15499.758","452349952","16","3","large-enabled","0"
"measured","8","1008","1","nlohmann-2.0.0","2026-09-03T13:23:44.5195915Z","2026-09-03T13:23:59.9288160Z","15409.224","453398528","16","3","large-enabled","0"
"measured","8","1008","2","rapidjson-1.9.5","2026-09-03T13:24:01.0954578Z","2026-09-03T13:24:14.1965631Z","13101.105","416841728","16","3","large-enabled","0"
"measured","9","1009","1","rapidjson-1.9.5","2026-09-03T13:24:15.3683391Z","2026-09-03T13:24:28.3280247Z","12959.686","400478208","16","3","large-enabled","0"
"measured","9","1009","2","nlohmann-2.0.0","2026-09-03T13:24:29.5017755Z","2026-09-03T13:24:44.9161918Z","15414.416","454569984","16","3","large-enabled","0"
"measured","10","1010","1","nlohmann-2.0.0","2026-09-03T13:24:46.1427118Z","2026-09-03T13:25:01.6030608Z","15460.349","452141056","16","3","large-enabled","0"
"measured","10","1010","2","rapidjson-1.9.5","2026-09-03T13:25:02.7907551Z","2026-09-03T13:25:15.8478880Z","13057.133","419864576","16","3","large-enabled","0"
"measured","11","1011","1","rapidjson-1.9.5","2026-09-03T13:25:17.0286007Z","2026-09-03T13:25:30.2455662Z","13216.966","399114240","16","3","large-enabled","0"
"measured","11","1011","2","nlohmann-2.0.0","2026-09-03T13:25:31.4331803Z","2026-09-03T13:25:46.8452100Z","15412.03","452403200","16","3","large-enabled","0"
"measured","12","1012","1","nlohmann-2.0.0","2026-09-03T13:25:48.0325547Z","2026-09-03T13:26:03.8816989Z","15849.144","451670016","16","3","large-enabled","0"
"measured","12","1012","2","rapidjson-1.9.5","2026-09-03T13:26:05.1283364Z","2026-09-03T13:26:21.6896447Z","16561.308","419860480","16","3","large-enabled","0"
"measured","13","1013","1","rapidjson-1.9.5","2026-09-03T13:26:23.3719850Z","2026-09-03T13:26:40.9857433Z","17613.758","395165696","16","3","large-enabled","0"
"measured","13","1013","2","nlohmann-2.0.0","2026-09-03T13:26:42.1436339Z","2026-09-03T13:26:58.7243429Z","16580.709","449089536","16","3","large-enabled","0"
"measured","14","1014","1","nlohmann-2.0.0","2026-09-03T13:26:59.9994160Z","2026-09-03T13:27:15.3398761Z","15340.46","452546560","16","3","large-enabled","0"
"measured","14","1014","2","rapidjson-1.9.5","2026-09-03T13:27:16.5143260Z","2026-09-03T13:27:29.5052448Z","12990.919","399556608","16","3","large-enabled","0"
"measured","15","1015","1","rapidjson-1.9.5","2026-09-03T13:27:30.6828183Z","2026-09-03T13:27:44.0488304Z","13366.012","399380480","16","3","large-enabled","0"
"measured","15","1015","2","nlohmann-2.0.0","2026-09-03T13:27:45.2471569Z","2026-09-03T13:28:01.7941552Z","16546.998","452407296","16","3","large-enabled","0"
"measured","16","1016","1","nlohmann-2.0.0","2026-09-03T13:28:02.9740836Z","2026-09-03T13:28:18.6832594Z","15709.176","448061440","16","3","large-enabled","0"
"measured","16","1016","2","rapidjson-1.9.5","2026-09-03T13:28:19.8689965Z","2026-09-03T13:28:32.8535097Z","12984.513","394694656","16","3","large-enabled","0"
"measured","17","1017","1","rapidjson-1.9.5","2026-09-03T13:28:34.0528872Z","2026-09-03T13:28:47.0501121Z","12997.225","397393920","16","3","large-enabled","0"
"measured","17","1017","2","nlohmann-2.0.0","2026-09-03T13:28:48.2284374Z","2026-09-03T13:29:03.9718000Z","15743.363","446992384","16","3","large-enabled","0"
"measured","18","1018","1","nlohmann-2.0.0","2026-09-03T13:29:05.1465530Z","2026-09-03T13:29:20.4813133Z","15334.76","453394432","16","3","large-enabled","0"
"measured","18","1018","2","rapidjson-1.9.5","2026-09-03T13:29:21.6789959Z","2026-09-03T13:29:34.5582760Z","12879.28","397131776","16","3","large-enabled","0"
"measured","19","1019","1","rapidjson-1.9.5","2026-09-03T13:29:35.7246084Z","2026-09-03T13:29:48.8627125Z","13138.104","418758656","16","3","large-enabled","0"
"measured","19","1019","2","nlohmann-2.0.0","2026-09-03T13:29:50.0330656Z","2026-09-03T13:30:05.5454757Z","15512.41","453476352","16","3","large-enabled","0"
"measured","20","1020","1","nlohmann-2.0.0","2026-09-03T13:30:06.7939939Z","2026-09-03T13:30:22.2621541Z","15468.16","452358144","16","3","large-enabled","0"
"measured","20","1020","2","rapidjson-1.9.5","2026-09-03T13:30:23.4860502Z","2026-09-03T13:30:36.8622745Z","13376.224","400240640","16","3","large-enabled","0"
"measured","21","1021","1","rapidjson-1.9.5","2026-09-03T13:30:38.0248870Z","2026-09-03T13:30:51.3299660Z","13305.079","419737600","16","3","large-enabled","0"
"measured","21","1021","2","nlohmann-2.0.0","2026-09-03T13:30:52.7617242Z","2026-09-03T13:31:08.7371677Z","15975.444","452308992","16","3","large-enabled","0"
"measured","22","1022","1","nlohmann-2.0.0","2026-09-03T13:31:09.9205229Z","2026-09-03T13:31:25.4927991Z","15572.276","451743744","16","3","large-enabled","0"
"measured","22","1022","2","rapidjson-1.9.5","2026-09-03T13:31:26.6683420Z","2026-09-03T13:31:39.5317204Z","12863.378","397205504","16","3","large-enabled","0"
"measured","23","1023","1","rapidjson-1.9.5","2026-09-03T13:31:40.7114635Z","2026-09-03T13:31:53.8012882Z","13089.825","398278656","16","3","large-enabled","0"
"measured","23","1023","2","nlohmann-2.0.0","2026-09-03T13:31:54.9859747Z","2026-09-03T13:32:10.2906829Z","15304.708","451784704","16","3","large-enabled","0"
"measured","24","1024","1","nlohmann-2.0.0","2026-09-03T13:32:11.4918389Z","2026-09-03T13:32:26.8483242Z","15356.485","453738496","16","3","large-enabled","0"
"measured","24","1024","2","rapidjson-1.9.5","2026-09-03T13:32:28.0362740Z","2026-09-03T13:32:41.0361324Z","12999.858","416583680","16","3","large-enabled","0"
"measured","25","1025","1","rapidjson-1.9.5","2026-09-03T13:32:42.2106269Z","2026-09-03T13:32:55.3178217Z","13107.195","397086720","16","3","large-enabled","0"
"measured","25","1025","2","nlohmann-2.0.0","2026-09-03T13:32:56.5062078Z","2026-09-03T13:33:12.3449223Z","15838.714","447553536","16","3","large-enabled","0"
"measured","26","1026","1","nlohmann-2.0.0","2026-09-03T13:33:13.6105697Z","2026-09-03T13:33:28.9935635Z","15382.994","452706304","16","3","large-enabled","0"
"measured","26","1026","2","rapidjson-1.9.5","2026-09-03T13:33:30.1762183Z","2026-09-03T13:33:43.1912717Z","13015.053","419467264","16","3","large-enabled","0"
"measured","27","1027","1","rapidjson-1.9.5","2026-09-03T13:33:44.3599730Z","2026-09-03T13:33:57.5434747Z","13183.502","419323904","16","3","large-enabled","0"
"measured","27","1027","2","nlohmann-2.0.0","2026-09-03T13:33:58.7487916Z","2026-09-03T13:34:14.0962542Z","15347.463","451637248","16","3","large-enabled","0"
"measured","28","1028","1","nlohmann-2.0.0","2026-09-03T13:34:15.2691637Z","2026-09-03T13:34:30.8488840Z","15579.72","452743168","16","3","large-enabled","0"
"measured","28","1028","2","rapidjson-1.9.5","2026-09-03T13:34:32.0095314Z","2026-09-03T13:34:45.4917312Z","13482.2","398680064","16","3","large-enabled","0"
"measured","29","1029","1","rapidjson-1.9.5","2026-09-03T13:34:46.6985455Z","2026-09-03T13:34:59.6305797Z","12932.034","417161216","16","3","large-enabled","0"
"measured","29","1029","2","nlohmann-2.0.0","2026-09-03T13:35:00.8092410Z","2026-09-03T13:35:16.1223264Z","15313.085","453726208","16","3","large-enabled","0"
"measured","30","1030","1","nlohmann-2.0.0","2026-09-03T13:35:17.2865181Z","2026-09-03T13:35:32.5513594Z","15264.841","454205440","16","3","large-enabled","0"
"measured","30","1030","2","rapidjson-1.9.5","2026-09-03T13:35:33.7271551Z","2026-09-03T13:35:46.5317097Z","12804.555","398761984","16","3","large-enabled","0"
"measured","31","1031","1","rapidjson-1.9.5","2026-09-03T13:35:47.7086463Z","2026-09-03T13:35:49.0166994Z","1308.053","42557440","13","0","standard-only","0"
"measured","31","1031","2","nlohmann-2.0.0","2026-09-03T13:35:49.5128135Z","2026-09-03T13:35:50.9964585Z","1483.645","42897408","13","0","standard-only","0"
"measured","32","1032","1","nlohmann-2.0.0","2026-09-03T13:35:51.5085042Z","2026-09-03T13:35:52.8971518Z","1388.648","42971136","13","0","standard-only","0"
